"customer_id","customer_name","city","signup_date"
1,"Aarav Sharma","Jaipur","2025-01-15"
2,"Meera Kapoor","Delhi","2025-01-22"
3,"Rohan Verma","Mumbai","2025-02-03"
4,"Ananya Singh","Bengaluru","2025-02-18"
5,"Kunal Mehta","Ahmedabad","2025-03-05"
6,"Ishita Jain","Pune","2025-03-19"
7,"Aditya Rao","Hyderabad","2025-04-02"
8,"Sneha Patel","Surat","2025-04-17"
9,"Vikram Joshi","Jaipur","2025-05-08"
10,"Nisha Gupta","Delhi","2025-05-21"
11,"Rahul Malhotra","Mumbai","2025-06-04"
12,"Priya Nair","Bengaluru","2025-06-16"
13,"Arjun Bansal","Pune","2025-07-01"
14,"Kavya Iyer","Hyderabad","2025-07-14"
15,"Manav Shah","Ahmedabad","2025-08-03"
16,"Diya Choudhary","Jaipur","2025-08-19"
17,"Siddharth Das","Kolkata","2025-09-07"
18,"Neha Sethi","Delhi","2025-09-23"
19,"Yash Agarwal","Mumbai","2025-10-11"
20,"Tanya Roy","Kolkata","2025-10-28"
